"Name","Activity type","Description"
"28/12/2015 09:11","",""

"Segment","Point","Latitude (deg)","Longitude (deg)","Altitude (m)","Bearing (deg)","Accuracy (m)","Speed (m/s)","Time","Power (W)","Cadence (rpm)","Heart rate (bpm)"
"1","1","-2.42411","29.069262","1582.0","12.0","7","1.25","2015-12-28T08:11:57.178Z","","",""
"1","2","-2.42411","29.069262","1582.0","12.0","7","1.25","2015-12-28T08:12:05.014Z","","",""
"1","3","-2.424106","29.069278","1583.0","22.0","5","1.25","2015-12-28T08:12:05.304Z","","",""
"1","4","-2.424106","29.069278","1583.0","22.0","5","1.25","2015-12-28T08:12:05.353Z","","",""
"1","5","-2.42409","29.069289","1587.0","27.0","4","1.25","2015-12-28T08:12:06.601Z","","",""
"1","6","-2.424085","29.069295","1579.0","28.0","4","1.25","2015-12-28T08:12:07.820Z","","",""
"1","7","-2.424079","29.069304","1579.0","32.0","4","1.25","2015-12-28T08:12:08.396Z","","",""
"1","8","-2.424079","29.069304","1579.0","32.0","4","1.25","2015-12-28T08:12:08.878Z","","",""
"1","9","-2.424073","29.069312","1575.0","37.0","3.9","1.25","2015-12-28T08:12:09.326Z","","",""
"1","10","-2.424073","29.069312","1575.0","37.0","3","1.25","2015-12-28T08:12:09.432Z","","",""
"1","11","-2.42407","29.069323","1573.0","46.0","3.9","1.25","2015-12-28T08:12:10.474Z","","",""
"1","12","-2.42407","29.069323","1573.0","46.0","3","1.25","2015-12-28T08:12:10.869Z","","",""
"1","13","-2.424068","29.069334","1573.0","54.0","3.9","1.25","2015-12-28T08:12:11.626Z","","",""
"1","14","-2.424068","29.069334","1573.0","54.0","3","1.25","2015-12-28T08:12:11.752Z","","",""
"1","15","-2.424063","29.069347","1573.0","55.0","3.9","1.5","2015-12-28T08:12:12.368Z","","",""
"1","16","-2.424063","29.069347","1573.0","55.0","3","1.5","2015-12-28T08:12:12.450Z","","",""
"1","17","-2.424058","29.069359","1572.0","53.0","3.9","1.5","2015-12-28T08:12:13.484Z","","",""
"1","18","-2.424058","29.069359","1572.0","53.0","3","1.5","2015-12-28T08:12:14.002Z","","",""
"1","19","-2.424052","29.06937","1571.0","46.0","3.9","1.5","2015-12-28T08:12:14.368Z","","",""
"1","20","-2.424052","29.06937","1571.0","46.0","3","1.5","2015-12-28T08:12:14.418Z","","",""
"1","21","-2.424045","29.069381","1571.0","46.0","3.9","1.5","2015-12-28T08:12:15.420Z","","",""
"1","22","-2.424045","29.069381","1571.0","46.0","3","1.5","2015-12-28T08:12:15.853Z","","",""
"1","23","-2.424037","29.069393","1572.0","47.0","3.9","1.5","2015-12-28T08:12:16.405Z","","",""
"1","24","-2.424037","29.069393","1572.0","47.0","3","1.5","2015-12-28T08:12:16.785Z","","",""
"1","25","-2.424031","29.069405","1572.0","51.0","3.9","1.5","2015-12-28T08:12:17.540Z","","",""
"1","26","-2.424031","29.069405","1572.0","51.0","3","1.5","2015-12-28T08:12:17.823Z","","",""
"1","27","-2.424024","29.069418","1573.0","54.0","3.9","1.5","2015-12-28T08:12:18.472Z","","",""
"1","28","-2.424024","29.069418","1573.0","54.0","3","1.5","2015-12-28T08:12:18.820Z","","",""
"1","29","-2.424017","29.06943","1572.0","54.0","3.9","1.5","2015-12-28T08:12:19.832Z","","",""
"1","30","-2.424017","29.06943","1572.0","54.0","3","1.5","2015-12-28T08:12:19.909Z","","",""
"1","31","-2.424009","29.069442","1572.0","53.0","3.9","1.5","2015-12-28T08:12:20.655Z","","",""
"1","32","-2.424009","29.069442","1572.0","53.0","3","1.5","2015-12-28T08:12:20.765Z","","",""
"1","33","-2.423998","29.069454","1572.0","51.0","3.9","1.5","2015-12-28T08:12:21.417Z","","",""
"1","34","-2.423998","29.069454","1572.0","51.0","3","1.5","2015-12-28T08:12:21.447Z","","",""
"1","35","-2.423988","29.069465","1573.0","49.0","3.9","1.5","2015-12-28T08:12:22.487Z","","",""
"1","36","-2.423988","29.069465","1573.0","49.0","3","1.5","2015-12-28T08:12:22.898Z","","",""
"1","37","-2.423979","29.069476","1572.0","48.0","3.9","1.5","2015-12-28T08:12:23.557Z","","",""
"1","38","-2.423979","29.069476","1572.0","48.0","3","1.5","2015-12-28T08:12:23.845Z","","",""
"1","39","-2.423969","29.069486","1571.0","48.0","3.9","1.5","2015-12-28T08:12:24.603Z","","",""
"1","40","-2.423969","29.069486","1571.0","48.0","3","1.5","2015-12-28T08:12:24.896Z","","",""
"1","41","-2.42396","29.069497","1571.0","50.0","3.9","1.5","2015-12-28T08:12:25.409Z","","",""
"1","42","-2.42396","29.069497","1571.0","50.0","3","1.5","2015-12-28T08:12:25.775Z","","",""
"1","43","-2.423951","29.069507","1572.0","48.0","3.9","1.5","2015-12-28T08:12:26.533Z","","",""
"1","44","-2.423951","29.069507","1572.0","48.0","3","1.5","2015-12-28T08:12:26.821Z","","",""
"1","45","-2.423942","29.069517","1573.0","48.0","3.9","1.5","2015-12-28T08:12:27.571Z","","",""
"1","46","-2.423942","29.069517","1573.0","48.0","3","1.5","2015-12-28T08:12:27.893Z","","",""
"1","47","-2.423933","29.069528","1573.0","49.0","4","1.5","2015-12-28T08:12:28.502Z","","",""
"1","48","-2.423933","29.069528","1573.0","49.0","4","1.5","2015-12-28T08:12:28.584Z","","",""
"1","49","-2.423924","29.069537","1572.0","48.0","3.9","1.5","2015-12-28T08:12:29.420Z","","",""
"1","50","-2.423924","29.069537","1572.0","48.0","3","1.5","2015-12-28T08:12:29.902Z","","",""
"1","51","-2.423915","29.069545","1572.0","47.0","3.9","1.5","2015-12-28T08:12:30.461Z","","",""
"1","52","-2.423915","29.069545","1572.0","47.0","3","1.5","2015-12-28T08:12:30.533Z","","",""
"1","53","-2.423906","29.069553","1571.0","47.0","3.9","1.5","2015-12-28T08:12:31.434Z","","",""
"1","54","-2.423906","29.069553","1571.0","47.0","3","1.5","2015-12-28T08:12:31.851Z","","",""
"1","55","-2.423896","29.069561","1571.0","46.0","3.9","1.5","2015-12-28T08:12:32.462Z","","",""
"1","56","-2.423896","29.069561","1571.0","46.0","3","1.5","2015-12-28T08:12:32.824Z","","",""
"1","57","-2.423886","29.069568","1571.0","45.0","3.9","1.5","2015-12-28T08:12:33.418Z","","",""
"1","58","-2.423886","29.069568","1571.0","45.0","3","1.5","2015-12-28T08:12:33.731Z","","",""
"1","59","-2.423876","29.069576","1570.0","46.0","3.9","1.5","2015-12-28T08:12:34.437Z","","",""
"1","60","-2.423876","29.069576","1570.0","46.0","3","1.5","2015-12-28T08:12:34.873Z","","",""
"1","61","-2.423867","29.069585","1570.0","49.0","3.9","1.5","2015-12-28T08:12:35.434Z","","",""
